,text,user
219,@realDonaldTrump $28 billion for BIG AG..there's a difference. #farmersfortrumpgoingtojail He's bilking future gene… https://t.co/0xEs6ib8sW,LukeVegas7
220,"RT @JmkWalkow: @realDonaldTrump #MAGA is peace and prosperity, this is the way. 🇺🇸 United States https://t.co/dd3GZSd9r7",JmkWalkow
221,@realDonaldTrump @TuckerCarlson Tucker is such a good boy. https://t.co/wBG1JSVPVO,GreggTchirkow
222,"@realDonaldTrump @TuckerCarlson Yea when you are a problem, pointing at another problem thats similar. Good point man.",Brillbot
223,@realDonaldTrump Where are the vaccines you mentioned? Liar,jachson56336631
224,@realDonaldTrump @TuckerCarlson https://t.co/Ql0Q9yLrXE,Gustavo94899722
225,@realDonaldTrump https://t.co/dK1oJt3UcQ,ATC01204068
226,@realDonaldTrump @TuckerCarlson Does it allow for you to tell ppl your owe over 200 million to lenders you never pa… https://t.co/rE3x4njfNO,JudithH69202931
227,@realDonaldTrump https://t.co/KUDwL9jeen,dairarija
228,@realDonaldTrump Omg will you stop,Penguin65364770
229,@realDonaldTrump Idiot,KrisArmstrong1
230,@realDonaldTrump @TuckerCarlson They are covering up the whole thing.  #securitybreech,jimtracy88
231,@realDonaldTrump You had to give them 28 billion because you’re screwed them over with your tariffs from China,JEConahanIII
232,@realDonaldTrump Now it's back to Russia Russia Russia... it's like a football coach running the same 3 plays the w… https://t.co/RBi11kaRNo,Dub_4_420
233,@realDonaldTrump @TuckerCarlson Let's talk about how you left your voters out in the cold at your rally!,Cleo_Mio
234,"RT @DaSkrambledEgg: @realDonaldTrump The reason so many people had hypothermia is because of all the testing! If there wasn't testing, test…",ScotiaGirl68
235,@realDonaldTrump https://t.co/cQXaZuh0ki,acecaval
236,@realDonaldTrump @TuckerCarlson Twitter doesn’t allow it because it’s not true.,StooMetz
237,@realDonaldTrump @TuckerCarlson Because it is lies,Tinknocker16
238,@realDonaldTrump @TuckerCarlson Twitter vermelho,Leandro76442458
239,"@realDonaldTrump @TuckerCarlson Mr. Trump, I think Twitter will allow you to mention the ""Biden corruption story"" i… https://t.co/hbJVvyE17j",DanielBrockman
240,@realDonaldTrump What in the fuck???  Release your taxes,bryanbourque74
241,@realDonaldTrump @TuckerCarlson https://t.co/WFB9B8dOnI,flcracker2
242,RT @RWTrollPatrol: @realDonaldTrump @TuckerCarlson Even Fox news knows Trump is toast and that he's going to destroy the republican party.…,elainejag
243,@realDonaldTrump JAIL TIME IS GETTING MORE NEAR..COUNT THE DAYS 👍 https://t.co/Fh7Dlg7lnk,EvelynGuach
244,@realDonaldTrump Losers &amp; Suckers that’s what Trump sees when he looks at Graves  of our Fallen Heroes in Arlington… https://t.co/HMHwK0rmQN,babsplace1
